Internal_Site_ID,Kabupaten/Kota,CityCode,RegionalCode,Alamat1,Alamat2,Alamat3,Alamat4,SiteName,Funcloc
AKK-01-004,Kabupaten Labuhanbatu Utara,AKK,1,DUSUN VI SIDODADI,DESA MARBAU SELATAN,KEC. MARBAU,LABUHANBATU UTARA,"COLE, MOLINA AND WILLIAMS",100000000006
AKK-01-005,Kabupaten Labuhanbatu Utara,AKK,1,DUSUN TANJUNG REJO,DESA PERK AEK PAMIENKE,KEC. AEK NATAS,LABUHANBATU UTARA,MCKINNEY INC,100000000007
AKK-01-006,Kabupaten Labuhanbatu Utara,AKK,1,DUSUN SIDODADI PASAR II,DESA AIR HITAM,KUALU LEIDONG,LABUHANBATU UTARA,RICHARD AND SONS,100000000695
AKK-01-007,Kabupaten Labuhanbatu Utara,AKK,1,"DUSUN II,","KEL. DESA PANGKALAN LUNANG,",KEC.KUALUH LEIDONG,LABUHANBATU UTARA,"LEWIS, LEE AND TURNER",100000001091
AKK-01-008,Kabupaten Labuhanbatu Utara,AKK,1,"DUSUN HARIAN TIMUR,","KEL. DESA SEI APUNG,",KEC. KUALUH HILIR,LABUHANBATU UTARA,"WEEKS, PATTERSON AND THOMPSON",100000001092
AKK-01-009,Kabupaten Labuhanbatu Utara,AKK,1,DESA SEI SENTANG KEC.KUALUH HILIR,DS SEI SENTANG,KUALUH HILIR,LABUHANBATU UTARA,LEE LTD,100000003007
AKK-01-010,Kabupaten Labuhanbatu Utara,AKK,1,"JL. DUSUN BAUE ,","KEL. DESA TELUK PIAI ,","KEC. KUALU HILIR ,",LABUHANBATU UTARA,"HARRISON, RANGEL AND CARTER",100000003008
AKK-01-011,Kabupaten Labuhanbatu Utara,AKK,1,"DUSUN IV KUALA BERINGIN,","DESA KAMPUNG BARU,",KECAMATAN KUALUH HULU,LABUHANBATU UTARA,DOMINGUEZ GROUP,100000003009
AKK-01-012,Kabupaten Labuhanbatu Utara,AKK,1,"JALAN SIMONIS, DUSUN I SIMONIS,","DESA SIMONIS,",KECAMATAN AEK NATAS,LABUHANBATU UTARA,MORGAN-MOLINA,100000003010
AKK-01-013,Kabupaten Labuhanbatu Utara,AKK,1,"DESA MERANTI OMAS, IX-X,",DESA MERANTI OMAS,KECAMATAN NA,LABUHANBATU UTARA,"FROST, THOMPSON AND JONES",100000005170
AKK-01-014,Kabupaten Labuhanbatu Utara,AKK,1,JL. A MARPAUNG,KEL. LABUHANBATU UTARA,KEC. LABUHANBATU UTARA,LABUHANBATU UTARA,SIMMONS PLC,100000012315
AKK-01-015,Kabupaten Labuhanbatu Utara,AKK,1,JL. TITIPAYUNG,KEL. LABUHANBATU UTARA,KEC. LABUHANBATU UTARA,LABUHANBATU UTARA,SHANNON-COLON,100000012317
AKK-01-016,Kabupaten Labuhanbatu Utara,AKK,1,"JL. DUSUN 8,",KEL. DESA TELUK SENTOSA,KEC.PANAI HULU,LABUHANBATU UTARA,SIMON-MOORE,100000014464
AKK-01-017,Kabupaten Labuhanbatu Utara,AKK,1,"DESA AEK HITETORAS,,",KEL. DESA AEK HITETORAS,KEC.MARBAU,LABUHANBATU UTARA,KELLEY AND SONS,100000014465
AKK-01-018,Kabupaten Labuhanbatu Utara,AKK,1,JL.DESA SUKA RAME DUSUN SUKA SARI,DS SUKA RAME,KUALUH HULU,LABUHANBATU UTARA,"ROGERS, GARCIA AND WILSON",100000058698
AKK-01-019,Kabupaten Labuhanbatu Utara,AKK,1,DUSUN TAPIAN NAULI DESA ADIAN TOROP,DS ADIAN TOROP,AEK NATAS,LABUHANBATU UTARA,ROSS-MCLAUGHLIN,100000058708
AMB-11-001,Kota Ambon,AMB,11,JL. IMAM BONJOL. RT. 001 RW. 001,KEL. AHUSEN,KEC. SIRIMAU,"AMBON, KOTA",JIMENEZ LTD,100000000008
AMB-11-002,Kota Ambon,AMB,11,KOTA JAWA RT.02 RW. 07,KEL. RUMAH TIGA,KEC. TELUK AMBO,"AMBON, KOTA",CARRILLO LTD,100000000009
AMB-11-003,Kota Ambon,AMB,11,"JL. CA LOPPIES, RT 003 RW 001",DESA HATALAI,KECAMATAN LEITIMUR SELATAN,"AMBON, KOTA",PARKER LLC,100000000010
AMB-11-004,Kota Ambon,AMB,11,"DESA JIKO,",DESA JIKO,KECAMATAN MANDIOLI SELATAN,"AMBON, KOTA","WILLIAMS, SUAREZ AND HARRISON",100000001093
AMB-11-005,Kota Ambon,AMB,11,JL. IR MARTINUS PUTUHENA,KELURAHAN TIHU,KEC TELUK,"AMBON, KOTA",WERNER-SPENCER,100000004848
AMB-11-006,Kota Ambon,AMB,11,JL.RAYA DESA HUKURILA,"KEL. AMBON,","KEC. AMBON,","AMBON, KOTA",WALKER PLC,100000012322
AMB-11-007,Kota Ambon,AMB,11,PT. PELINDO IV JL. YOS. SUDARSO,AMBON,AMBON,"AMBON, KOTA",HURLEY GROUP,100000014144
AMR-10-001,Kabupaten Minahasa Selatan,AMR,10,JAGA 1 DESA PLASATEN,DESA PLASATEN,KEC TATAPAAN,MINAHASA SELATAN,CASTANEDA GROUP,100000001094
AMR-10-002,Kabupaten Minahasa Selatan,AMR,10,"JL. DS, LINELEAN DUSUN 1,",DESA LINELEAN,KEC. MODOINDING,MINAHASA SELATAN,PAYNE-SALAZAR,100000001095
AMS-11-001,Kabupaten Sorong,AMS,11,DUSUN 3,KEL SAOKA,KEC SORONG BARAT,SORONG,GARDNER LTD,100000004921
AMS-11-002,Kabupaten Sorong,AMS,11,"JL. BASUKI RAHMAT, RT. 001/RW.002,",DESA. WALENOKEDI,SORONG,SORONG,MORALES LLC,100000005076
AMS-11-003,Kabupaten Sorong,AMS,11,SP2 SORONG EX. WONDIBOI EX MISOL,SORONG,SORONG,SORONG,"SANFORD, HICKS AND MILLER",100000005082
AMS-11-004,Kabupaten Sorong,AMS,11,BUKIT MAYRAT,BUKIT MAYRAT,SORONG,SORONG,"COOPER, RIVAS AND JUAREZ",100000005804
AMS-11-005,Kabupaten Sorong,AMS,11,SORONG,KEL. SORONG,KEC. SORONG,SORONG,"CAMERON, GIBSON AND HOLDEN",100000012324
AMS-11-006,Kabupaten Sorong,AMS,11,SORONG,KEL. SORONG,KEC. SORONG,SORONG,"DILLON, PATTERSON AND GENTRY",100000012325
AMS-11-007,Kabupaten Sorong,AMS,11,SORONG,KEL. SORONG,KEC. SORONG,SORONG,LOPEZ INC,100000012326
AMS-11-008,Kabupaten Sorong,AMS,11,"RT.001. RW.001., DISTRIK MAKBON",DESA MAKBON,SORONG,SORONG,WOOD INC,100000014466
AMT-09-001,Kabupaten Hulu Sungai Utara,AMT,9,"JL. BRIGJEN H. HASAN BASRI, RT.IV,","DS. TAPUS DALAM,",KEC. SUNGAI PANDAN,HULU SUNGAI UTARA,BRADLEY-GOOD,100000001098
AMT-09-002,Kabupaten Hulu Sungai Utara,AMT,9,"RT 04,","DESA RANTAWAN,",KEC. AMUNTAI TENGAH,HULU SUNGAI UTARA,MCCOY LTD,100000014467
APN-10-001,Kabupaten Tojo Una-Una,APN,10,DESA UEDELE,DESA UEDELE,KECAMATAN TOJO,TOJO UNA UNA,WEISS LLC,100000000012
APN-10-002,Kabupaten Tojo Una-Una,APN,10,"JL. TRANS SULAWESI, DUSUN 1 RT.002,",DESA MANTANGISI,KECAMATAN AMPANA TETE,TOJO UNA UNA,"LANG, JORDAN AND ROLLINS",100000001099
APN-10-003,Kabupaten Tojo Una-Una,APN,10,JERUK RT.008 RW.002,KEL. DONDO BARAT,KEC. AMPARA KOTO,TOJO UNA UNA,SPENCER INC,100000001100
APN-10-004,Kabupaten Tojo Una-Una,APN,10,DESA POPOLII,POPOLII,WALEA KEPULAUAN,TOJO UNA UNA,BURTON-WEST,100000005630
APN-10-005,Kabupaten Tojo Una-Una,APN,10,KEC.AMPANA,KEL.AMPANA,KEC.AMPANA,TOJO UNA UNA,"BRADLEY, WALKER AND HART",100000012329
APN-10-006,Kabupaten Tojo Una-Una,APN,10,JLN.TRANS POSO-LUWUK,KEL. TOJO UNA UNA,KEC. TOJO UNA UNA,TOJO UNA UNA,"BEAN, FRAZIER AND WAGNER",100000012331
APN-10-007,Kabupaten Tojo Una-Una,APN,10,JL.TADULAKO,DESA PUSUNGI,KEC. AMPANA TETE,TOJO UNA UNA,FOSTER-LARA,100000017477
APN-10-008,Kabupaten Tojo Una-Una,APN,10,JL.TRANS SULAWESI AMPANA-LUWUK RT.01/01,DS BANTUGA,PALU,TOJO UNA UNA,POPE-SCHROEDER,100000057841
ARM-10-001,Kabupaten Minahasa Utara,ARM,10,JL. PERUM MAUMBI INDAH JAGA IV,DESA WATUTUMOU,KEC. KALAWAT,MINAHASA UTARA,FOSTER GROUP,100000000013
ARM-10-002,Kabupaten Minahasa Utara,ARM,10,"DESA BATU, RT.004/RW.00",DESA BATU,KEC. LIKUPANG SELATAN,MINAHASA UTARA,MORTON GROUP,100000000014
ARM-10-003,Kabupaten Minahasa Utara,ARM,10,DESA LIKUPANG II,DESA LIKUPANG LI,KEC. LIKUPANG TIMUR,MINAHASA UTARA,"BOND, COX AND GONZALES",100000000015
ARM-10-004,Kabupaten Minahasa Utara,ARM,10,JL. JAGA VII RT./RW. 007,DESA MATUNGKAS,KEC. DIMEMBE,MINAHASA UTARA,CARTER-SMITH,100000001101
ARM-10-005,Kabupaten Minahasa Utara,ARM,10,"DESA RATATOTOK II,","DESA RATATOTOK II,",KEC RATATOTOK,MINAHASA UTARA,VAUGHN LTD,100000001102
ARM-10-006,Kabupaten Minahasa Utara,ARM,10,"DESA WARISA, JAGA IV,",DESA WARISA,KEC. TALAWAAN,MINAHASA UTARA,"SMITH, SANDERS AND WARNER",100000001103
ARM-10-007,Kabupaten Minahasa Utara,ARM,10,"DESA DARUNU, JAGA I,",DESA DARUNU,KEC. WORI,MINAHASA UTARA,HOWARD-LI,100000001104
ARM-10-008,Kabupaten Minahasa Utara,ARM,10,JL. KIMA BAJO PANGKALAN MINYAK TANAH,DESA KIMA BAJO,KEC.WORI,MINAHASA UTARA,"MCGRATH, MORENO AND KELLEY",100000002464
ARM-10-009,Kabupaten Minahasa Utara,ARM,10,JAGA II,DESA TANGGARI,KEC AIRMADIDI,MINAHASA UTARA,"SMITH, ROSARIO AND CHEN",100000002473
ARS-02-001,Kabupaten Solok,ARS,2,"JORONG NGALAU INDAH,",NAGARI SUNGAI KUNYIT BARAT,KEC. SANGIR BALAI JANGGUK,SOLOK,JONES-CLARK,100000001105
ARS-02-002,Kabupaten Solok,ARS,2,JL LINTAS SUMANI JORONG PBS,SUMANI NAGARI SUMANI,KEC. X KOTO SINGKARAK,SOLOK,"NEWTON, KRUEGER AND SHAFFER",100000001107
ARS-02-003,Kabupaten Solok,ARS,2,"JL. SYEKH SUPAYANG,","KEL. SIMPANG RUMBIO,","KEC. LUBUK SIKARAH,",SOLOK,"ANTHONY, HOWELL AND GRAHAM",100000003544
ARS-02-004,Kabupaten Solok,ARS,2,JL. JORONG PINTU RAYO ARIPAN,PINTU RAYO ARIPAN,KEC. SINGKARAK,SOLOK,SILVA-HESS,100000005266
ARS-02-005,Kabupaten Solok,ARS,2,DESA G. MEDAN,DESA G. MEDAN,KEC. G. MEDAN,SOLOK,QUINN-STEPHENS,100000012336
ARS-02-006,Kabupaten Solok,ARS,2,"JL SOLOK ALAHAN PANJANG, RAWANG GADANG",SIMPANG TANJUNG NAN IV,"KEC DANAU KEMBAR,",SOLOK,PARKER LTD,100000014468
ARS-02-007,Kabupaten Solok,ARS,2,JL. PUTRI BUNGSU RT.2 RW.1 KAMPUNG BARU,KEL. NAN BALIMO,SOLOK,SOLOK,"NOBLE, AGUILAR AND LOPEZ",100000014469
ARS-02-008,Kabupaten Solok,ARS,2,JORONG PASAR USANG,NAGARI KOTO GADANG GUGUK,GUNUNG TALANG,SOLOK,RIVAS-PRICE,100000044439
ARS-02-009,Kabupaten Solok,ARS,2,"JORONG GALAGAH, NAGARI ALAHAN PANJANG",NAGARI ALAHAN PANJANG,LEMBAH GUMANTI,SOLOK,"BLAKE, DAVIS AND WALKER",100000044440
ARS-02-010,Kabupaten Solok,ARS,2,JORONG KAPALO DANAU ATEH,NAGARI SIMPANG,DANAU KEMBAR,SOLOK,PERRY-BAILEY,100000048185
ARS-02-011,Kabupaten Solok,ARS,2,JL. NANGGALO JORONG PASAR NAGARI SURIAN,SURIAN,PANTAI CERMIN,SOLOK,"HARTMAN, JOHNSON AND FARMER",100000051591
ARS-02-012,Kabupaten Solok,ARS,2,JORONG PASAR SIMPANG NAGARI PASAR SIMPAN,PASAR SIMPANG,DANAU KEMBAR SOLOK,SOLOK,"TATE, HAMPTON AND SMITH",100000051594
ARS-02-013,Kabupaten Solok,ARS,2,JORONG KAPUH NAGARI SUMANI KEC.X KOTO SI,SUMANI,X KOTO SINGKARAK SOLOK,SOLOK,"WOOD, SANCHEZ AND ROY",100000051595
ARS-02-014,Kabupaten Solok,ARS,2,JL.BATU LAWEH RT.02/03 KEL.TANJUNG PAKU,TANJUNG PAKU,TANJUNG HARAPAN,"SOLOK, KOTA","YOUNG, CARLSON AND TAYLOR",100000057610
ARS-02-015,Kabupaten Solok,ARS,2,JL.LADANG BERAMPEK BTU PATAH PAYO RT.3/6,TANAH GARAM,LUBUK SIKARAH,"SOLOK, KOTA",WOOD LLC,100000057662
ARS-02-016,Kabupaten Solok,ARS,2,JL.SOLOK BUKIT SILEH JORONG KAPALO KOTO,NAGARI KOTO LAWEH,LEMBANG JAYA,SOLOK,FOX-WILSON,100000059071
ATB-08-001,Kabupaten Belu,ATB,8,DUSUN MESIT RT.03 RW.03,DESA KUSA,KEC. MALAKA TIMUR,BELU,"VAUGHAN, KAUFMAN AND WILSON",100000001108
ATB-08-002,Kabupaten Belu,ATB,8,DESA ALAS,LOBA LIMA SELATAN,BELU,BELU,BENNETT-FLOYD,100000005574
ATB-08-003,Kabupaten Belu,ATB,8,DESA NANAENOE,NANAENOE,NANAENOE,BELU,BRADY-FREEMAN,100000005579
ATB-08-004,Kabupaten Belu,ATB,8,DESA LAKMARAS,LAKMARAS,LAMAKNEN SELATAN,BELU,"BROWN, SHERMAN AND SMITH",100000005580
ATB-08-005,Kabupaten Belu,ATB,8,DESA KAKANIU,KAKANIU,MALAKA TENGAH,BELU,"YOUNG, HERNANDEZ AND HERNANDEZ",100000005581
ATB-08-006,Kabupaten Belu,ATB,8,PT TELKOM WEHOR,BELU,BELU,BELU,MILLER-BRYANT,100000012343
ATB-08-007,Kabupaten Belu,ATB,8,DESA HALILULIK,HALILULIK,HALILULIK,BELU,HARRIS AND SONS,100000012344
BAA-08-001,Kabupaten Rote Ndao,BAA,8,DUSUN OEDAI RT 010 RW 005,DESA OELUA,KECAMATAN ROTE BARAT LAUT,ROTE NDAO,HIGGINS-GREEN,100000005357
BAA-08-002,Kabupaten Rote Ndao,BAA,8,"OESELI RT 12 RW 006,",DESA OESELI,KECAMATAN ROTE BARAT DAYA,ROTE NDAO,JOHNSON-MCLEAN,100000005360
BAA-08-003,Kabupaten Rote Ndao,BAA,8,PT TELKOM,BADALE,LOBALAIN,ROTE NDAO,BURNS AND SONS,100000012345
BAN-10-001,Kabupaten Bantaeng,BAN,10,"RT 003 RW 003,",DESA BONTOSUNGGU,KEC. BISAPPU,BANTAENG,"SHAH, RAMIREZ AND TURNER",100000001110
BAN-10-002,Kabupaten Bantaeng,BAN,10,DSN. KALUKUA,DS. PAJUKUKANG,KEC. PAJUKUKANG,BANTAENG,STUART-REYES,100000001112
BAN-10-003,Kabupaten Bantaeng,BAN,10,"BONTOTINO, BANTAENG",KEL. BANTAENG,KEC. BANTAENG,BANTAENG,"CRAWFORD, EDWARDS AND KELLEY",100000012348
BAN-10-004,Kabupaten Bantaeng,BAN,10,JL.BATE BALLA DUSUN BUNGA BIRAENG RT.1/1,DS LUMPANGAN,PAJUKUKANG,BANTAENG,SIMS PLC,100000057850
BAR-10-001,Kabupaten Barru,BAR,10,"KP BARU,","KEL. AJAKKANG,",KEC. SOPPENG RIAJA,BARRU,WELCH-LEE,100000001113
BAR-10-002,Kabupaten Barru,BAR,10,JL. SULTAN HASANUDDIN DESA LIPUKASI,KEL. LIPUKASI,"KEC. TANETE RILAU,",BARRU,"MURPHY, FRIEDMAN AND SCHNEIDER",100000001115
BAR-10-003,Kabupaten Barru,BAR,10,"JL GURU M AMIN NO.29 RT. 01/03,","KEL. UJUNG BARU,",KEC. BARRU,BARRU,ARMSTRONG AND SONS,100000001116
BAR-10-004,Kabupaten Barru,BAR,10,"JL.LAWAMPANG,","DS. KAMIRI,",KEC. BALUSU,BARRU,CAMPBELL LLC,100000001117
BAR-10-005,Kabupaten Barru,BAR,10,DS LABUANGE,LABUANGE,MALUSETASI,BARRU,THOMPSON INC,100000012351
BAR-10-006,Kabupaten Barru,BAR,10,DUSUN BATU LAPPA DESA TOMPO,DS TOMPO,BARRU,BARRU,MORTON-VINCENT,100000057822
BAU-10-001,Kota Bau Bau,BAU,10,JL. MAWAAMBE,KEL. LIPU,KEC. BETOAMBARI,"BAU BAU, KOTA",ROBINSON-HESS,100000000321
BAU-10-002,Kota Bau Bau,BAU,10,JL. LADIRANI,DESA BONETIRO,KEC. KAPONTIRI,"BAU BAU, KOTA","BRAUN, MARKS AND HORTON",100000001119
BBS-06-001,Kabupaten Brebes,BBS,6,JLN. CARIWI RT.10/RW.04,BANJARHARJO,KEC. BANJARHARJO,BREBES,"FORD, BUSH AND MAHONEY",100000001124
BBS-06-002,Kabupaten Brebes,BBS,6,JL. KARANG BALE LARANGAN,DS. KARANGBALE,KEC. LARANGAN,BREBES,WOODWARD-BENSON,100000001126
BBS-06-003,Kabupaten Brebes,BBS,6,DESA BANJARAN,DESA BANJARAN,KEC. SALEM,BREBES,"MEADOWS, CHAN AND FRAZIER",100000014940
BBS-06-004,Kabupaten Brebes,BBS,6,"PERUM PALM INDAH, JL. RAYA PAGOJENGAN",BUMIAYU,BUMIAYU,BREBES,"PEREZ, WALTERS AND CRUZ",100000014948
BBS-06-005,Kabupaten Brebes,BBS,6,RT.04 RW.01,DESA LUWUNGBATA,KEC. TANJUNG,BREBES,"HARRIS, RODRIGUEZ AND PHILLIPS",100000018211
BBS-06-006,Kabupaten Brebes,BBS,6,RT.02 RW.03,DESA KUBANGPARI,KEC. KERSANA,BREBES,MORALES-HUDSON,100000018228
BBS-06-007,Kabupaten Brebes,BBS,6,RT.04 RW.02,DESA PAKIJANGAN,KEC. BULAKAMBA,BREBES,CAMPBELL LLC,100000018229
BBS-06-008,Kabupaten Brebes,BBS,6,RT.05 RW.04,DESA LUWUNGRAGI,KEC. BULAKAMBA,BREBES,LE-HALL,100000018231
BBS-06-009,Kabupaten Brebes,BBS,6,WANASARI RT002 RW001 DESA WANASARI KEC.W,WANASARI,WANASARI,BREBES,"SANDERS, ADAMS AND MORENO",100000040056
BBU-03-001,Kabupaten Way Kanan,BBU,3,JALAN POROS RT 8 RW 2,WAY KANAN,WAY KANAN,WAY KANAN,"BROWN, JACKSON AND AVERY",100000000018
BBU-03-002,Kabupaten Way Kanan,BBU,3,"JL. KAMPUNG, DUSUN I",DESA WAY TUBA,GUNUNG LABUHAN,WAY KANAN,PARK-BROCK,100000000019
BBU-03-003,Kabupaten Way Kanan,BBU,3,"JL. GEDUNG REJO, DUSUN 03 RT.05",WAY KANAN,WAY KANAN,WAY KANAN,"DICKERSON, MOSS AND AVILA",100000000020
BBU-03-004,Kabupaten Way Kanan,BBU,3,SUKABUMI RT. 015 RW 002,DESA SUKABUMI,KEC. PAKUAN RATU,WAY KANAN,"SNYDER, BROWN AND PERRY",100000000021
BBU-03-005,Kabupaten Way Kanan,BBU,3,"JALAN POROS RT. 04, RW. 03",WAY KANAN,WAY KANAN,WAY KANAN,"FOWLER, LEWIS AND NELSON",100000000022
BBU-03-006,Kabupaten Way Kanan,BBU,3,JL. KH DEWANTARA RT. 02 RW.02,WAY KANAN,WAY KANAN,WAY KANAN,GEORGE INC,100000000023
BBU-03-007,Kabupaten Way Kanan,BBU,3,"JL. POROS RT.02, DUSUN V",DESA SRI REJEKI,BLAMBANGAN UMPU,WAY KANAN,WOOD-FAULKNER,100000000024
BBU-03-008,Kabupaten Way Kanan,BBU,3,"TANJUNG AGUNG RT.003/04 ,",DESA TANJUNG AGUNG,KECAMATAN PAKUAN RATU,WAY KANAN,"DILLON, DUFFY AND DOYLE",100000001136
BBU-03-009,Kabupaten Way Kanan,BBU,3,DUSUN RINDU HATI,"DESA MULYA SAYA,",KECAMATAN REBANG TANGKAS,WAY KANAN,SMITH AND SONS,100000004978
BBU-03-010,Kabupaten Way Kanan,BBU,3,RT. 01/01,"DESA SUKA AGUNG,",KECAMATAN BUAY BAHUGA,WAY KANAN,"TAYLOR, KELLEY AND GARCIA",100000005401
BBU-03-011,Kabupaten Way Kanan,BBU,3,JL. RADEN INTAN GG PUNTADEWA RT. 03 02,DESA SERUPA INDAH,KEC. PAKUAN RATU,WAY KANAN,SAVAGE GROUP,100000005402
BBU-03-012,Kabupaten Way Kanan,BBU,3,KAMP. BUKIT BATU,KASUI,KASUI,WAY KANAN,"DONOVAN, MCGRATH AND WALL",100000012755
